time,file,result,length
2024-05-07 20:27:21.515542+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030045.png,SUCCESS,0.141473991
2024-05-07 20:27:21.521167+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030046.png,SUCCESS,0.26440282
2024-05-07 20:27:21.526192+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030055.png,SUCCESS,0.194057718
2024-05-07 20:27:21.531327+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030056.png,SUCCESS,0.13367291
2024-05-07 20:27:21.536458+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030057.png,SUCCESS,0.292000515
2024-05-07 20:27:21.542440+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030058.png,SUCCESS,0.239069994
2024-05-07 20:27:21.548036+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030059.png,SUCCESS,0.470629852
2024-05-07 20:27:21.553776+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030060.png,SUCCESS,0.395510091
2024-05-07 20:27:21.558202+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030061.png,SUCCESS,0.400534553
2024-05-07 20:27:21.564000+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030062.png,SUCCESS,0.416588879
2024-05-07 20:27:21.569658+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030067.png,SUCCESS,0.314168898
2024-05-07 20:27:21.575146+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030068.png,SUCCESS,0.278245776
2024-05-07 20:27:21.580738+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030069.png,SUCCESS,0.312039445
2024-05-07 20:27:21.585220+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030070.png,SUCCESS,0.328710971
2024-05-07 20:27:21.591487+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030071.png,SUCCESS,0.340426101
2024-05-07 20:27:21.596322+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030072.png,SUCCESS,0.334812991
2024-05-07 20:27:21.602665+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030073.png,SUCCESS,0.34359282
2024-05-07 20:27:21.609405+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030074.png,SUCCESS,0.338450093
2024-05-07 20:27:21.616759+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030075.png,SUCCESS,0.335655129
2024-05-07 20:27:21.623664+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030076.png,SUCCESS,0.327467273
2024-05-07 20:27:21.630438+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030077.png,SUCCESS,0.468268013
2024-05-07 20:27:21.636364+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030107.png,SUCCESS,0.207940781
2024-05-07 20:27:21.642170+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030108.png,SUCCESS,0.13327266
2024-05-07 20:27:21.649382+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030109.png,SUCCESS,0.215360893
2024-05-07 20:27:21.653262+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030110.png,SUCCESS,0.177607128
2024-05-07 20:27:21.657568+00:00,/home/chris/data/fishsense/__labeling_0504/080323_0855_MolHITW/P8030111.png,SUCCESS,0.194898837
